1,loud,86.132.205.179,2,2,-42.79999923706055,19.059999465942383,0,48.959999084472656,1234.800048828125,20,,,,,,,9c6bf7def769693f8ac8d229117c4959
2,crushed,86.132.205.179,2,2,-50,20,10,48.959999084472656,820.8800048828125,20,,,,,,,88cf2e5cbf1f1c3e31e32c266291c8bf
3,warm,86.132.205.179,2,2,-43.79999923706055,5.300000190734863,10,34.970001220703125,1903.43994140625,17.440000534057617,,,,,,,6dc92e5f5679b2edf5f6d7dc3126985e
4,nice,86.132.205.179,2,2,-43.79999923706055,2.2100000381469727,10,34.970001220703125,1903.43994140625,17.440000534057617,,,,,,,53ee24524348fcb1aacd8c59803b8dcf
5,compressed,86.132.205.179,2,2,-43.79999923706055,1.6100000143051147,10,34.970001220703125,1903.43994140625,17.440000534057617,,keyboard,,,,,40b8791cda35b484a0aa1008ce2e6efd
6,quiet,86.132.205.179,2,2,-43.79999923706055,1.6100000143051147,10,34.970001220703125,1903.43994140625,5.519999980926514,,keyboard,,,,,4521c63a8f909cd668b1af231a5d5b26
7,LV2,10.50.6.9,2,2,-36.79999923706055,20,0,4.999995231628418,199.99923706054688,16.799999237060547,,,,,,,8af4a04ac67a841198b9eff072740f70
8,tight,10.255.52.254,1,1,-40.400001525878906,6.039999961853027,17.600000381469727,5,1314.4000244140625,14.880000114440918,,,,,,,62646882c8da55123eca78c5803ebfcd
9,bass,10.255.52.254,1,1,-22,4.699999809265137,0,38.16999816894531,200,0,,,,,,,4bce85789730d15cc544ac00a4b14003
10,kick,10.255.52.254,1,1,-33.20000076293945,7.03000020980835,0,48.959999084472656,844.760009765625,9.039999961853027,,,,,,,ac6b29205d8f239c45aafccabd94eb9e
11,pumping,10.255.52.254,1,1,-33.20000076293945,17.6200008392334,0,18.190000534057617,414.9200134277344,16.8799991607666,,,,,,,f96be8419293564cd70432f8816f6d77
12,Tickled,10.33.180.253,2,2,-25.799999237060547,1.559999942779541,10,7.28000020980835,137.36000061035156,7.679999828338623,Chillwave,"Bass GUitar",Birmingham,5,23,English,0b8f8bb8da5c1782ca20e3a11e641ef0
13,smooth,10.33.180.253,2,2,-17.200000762939453,1.5800000429153442,9.279999732971191,4.489999771118164,169.1999969482422,4.800000190734863,Chillwave,"Bass GUitar",Birmingham,5,23,English,77ac35576fe9475fb94f085a0d537d3f
14,squashed,10.33.180.253,2,2,-32.20000076293945,3.490000009536743,9.279999732971191,33.2599983215332,511.4800109863281,16.959999084472656,Chillwave,Keyboard,birmingham,5,23,English,698b0998d17292277895955146142a9a
15,crushed,10.33.180.253,2,2,-35.79999923706055,6.199999809265137,0,0.5,1164.199951171875,14.15999984741211,Chillwave,Keyboard,birmingham,5,23,English,842c832e11dcdbb3845730057a265d03
16,smoothed,10.33.180.253,2,2,-33.400001525878906,3.2699999809265137,7.360000133514404,2.0999999046325684,1259.719970703125,3.9200000762939453,Chillwave,glockenspiel,birmingham,5,23,English,ee5fee1346f37776f3a058f0eee68b56
17,choppy,10.33.180.253,2,2,-43,3.2699999809265137,0,41.65999984741211,10,10.319999694824219,glitch,noise,birmingham,5,23,English,1ee456c815316a6c9bd62c259864ad7b
18,pinned,10.33.180.253,2,2,-43.400001525878906,1.409999966621399,14.5600004196167,2.5,479.6400146484375,3.2799999713897705,glitch,noise,birmingham,5,23,English,ceca99e1754b67f6d599e6ba6ffdf945
19,Glued,10.33.180.253,2,2,-25,6.929999828338623,9.119999885559082,0.10000000149011612,685.5599975585938,2.0799999237060547,Experimental,"Males Vocals",Birmingham,7,23,english,5c2655b931309f533361ebcb80cb509c
20,"boost ",109.150.127.73,2,2,-37.599998474121094,3.2200000286102295,0,5,200,13.4399995803833,,,,,,,8272f8fc557d007886f416463245b9e6
21,"max ",109.150.127.73,2,2,-49.79999923706055,14.789999961853027,0,5,200,20,,,,,,,fb2b4593b8b9acbbe11270376b679ff0
22,Soft,83.45.150.123,2,2,-21.200000762939453,3.9700000286102295,2.9600000381469727,17.790000915527344,200,3.9200000762939453,Piano,Piano,,,,German,9fd7cee0015a920e45286b8f213380f6
23,Piano-Comp,83.45.150.123,2,2,-17.399999618530273,4.099999904632568,7.28000020980835,9.390000343322754,200,6.300000190734863,,,,,,,a79bfd53be1214bdbbc6ff38aac3817a
24,Present,83.45.150.123,2,2,-16.799999237060547,4.099999904632568,7.199999809265137,5,200,3.359999895095825,,,,,,,8228b0659ff3380ae18240d445b05c13
25,"Soft comp master",82.241.166.68,2,2,-21.200000762939453,3.9700000286102295,2.9600000381469727,17.790000915527344,200,3.9200000762939453,,,,,,,314dabd804d87b50ee9252011965a45c
26,"Hard comp master",82.241.166.68,2,2,-21.200000762939453,3.9700000286102295,2.9600000381469727,17.790000915527344,200,3.9200000762939453,,,,,,,5a6572ed478aa79c8858a4119a5b47bd
27,"Limit master",82.241.166.68,2,2,-21.200000762939453,3.9700000286102295,2.9600000381469727,17.790000915527344,200,3.9200000762939453,,,,,,,57a90df775675c1e90749192b7d42929
28,warm,91.118.58.241,2,2,0,2,0,5,200,0,,,,,,,18426ba26b171a8b326ab3f0a39f7498
29,"Fat Drums",94.65.217.172,2,2,-32.599998474121094,4.510000228881836,1.440000057220459,10.600000381469727,168.16000366210938,11.039999961853027,,,,,,,721efae0ab472039389c7d8b274189e5
30,popping,62.232.56.222,1,1,-36.79999923706055,2.640000104904175,16.31999969482422,22.979999542236328,200,15.4399995803833,"funk, pop","bass guitar",London,intermediate,24,Dutch,0b044831b8dc86e07e4ea453f59f97d3
