1,Distant,10.50.6.9,2,2,0.5199999809265137,0.5,1,0,0.6200000047683716,1,0.550000011920929,0.9300000071525574,0.47999998927116394,,,,,,,ffb7b2b38255419dc832023e8b9b7370
2,dreamy,86.132.205.179,2,2,0.10999999940395355,0.7900000214576721,0.7200000286102295,1,0.3100000023841858,1,1,0.6700000166893005,0.36000001430511475,,keyboard,blues,,,,cbd6bb87ea18c690e23e917938ded368
3,slap,86.132.205.179,2,2,0.38999998569488525,0.6399999856948853,0.7200000286102295,0.2199999988079071,0.41999998688697815,0.8399999737739563,0.8700000047683716,0.5699999928474426,0.8999999761581421,,keyboard,blues,,25,,0060c14e707dac424c693be2a9314c48
4,slapback,86.132.205.179,2,2,0.38999998569488525,0.6399999856948853,0.7200000286102295,0.2199999988079071,0.41999998688697815,0.8399999737739563,0.8700000047683716,0.5699999928474426,0.8999999761581421,,keyboard,blues,,25,,417d66e23ec0713d51a99f8891c11afc
5,slapback,86.132.205.179,2,2,0.38999998569488525,0.6399999856948853,0.7200000286102295,0.8100000023841858,0.6600000262260437,0.7300000190734863,0.8700000047683716,1,0,,keyboard,blues,,25,,7503fe58c931cdd60b39ed19562ca870
6,delay,86.132.205.179,2,2,0.38999998569488525,0.4099999964237213,0.7200000286102295,0.3100000023841858,0.6600000262260437,0.7300000190734863,0.8700000047683716,1,0,,keyboard,blues,,25,,e220df31998650195d76fbd9d5dc0405
7,dreamy,86.132.205.179,2,2,0.10999999940395355,0.7900000214576721,0.7200000286102295,1,0.699999988079071,1,1,0.6700000166893005,0.36000001430511475,,keyboard,blues,,25,,8538dc5d33fd8c9f6dce0686740a4af5
8,dreamy,86.132.205.179,2,2,0.10999999940395355,0.7900000214576721,0.7200000286102295,1,1,1,1,0.6700000166893005,0.36000001430511475,,keyboard,blues,,25,,814051ea77f6f777a6d86a49fbc037ff
9,subtle,86.132.205.179,2,2,0.10999999940395355,0.33000001311302185,0.6000000238418579,0.6800000071525574,0.6700000166893005,0.8799999952316284,0.75,0.3400000035762787,0.36000001430511475,,keyboard,blues,,25,,09dd969c8b3f3fb5105a80e097bf109c
10,emphasize,86.132.205.179,2,2,0.699999988079071,0.33000001311302185,0.6000000238418579,0.41999998688697815,0.6700000166893005,0.8799999952316284,0.75,0.3400000035762787,0.36000001430511475,,keyboard,blues,,25,,a54108980061e3c197e8fe37640f31ef
11,mental,86.132.205.179,2,2,1,1,1,1,1,1,1,1,1,,keyboard,blues,,25,,bfadb94dfc5d1ce9dadc826d96871c68
12,massive,86.132.205.179,2,2,1,0.8899999856948853,1,0.6899999976158142,0.17000000178813934,0.8100000023841858,1,1,1,,keyboard,blues,,25,,c6f791f0fcbea989f065da08327e6ee6
13,massive,86.132.205.179,2,2,0.3799999952316284,0.8899999856948853,0.6800000071525574,0.6899999976158142,0.17000000178813934,0.8100000023841858,1,1,1,,keyboard,blues,,25,,e841bd09341256e49bf9da15316b49f7
14,big,86.132.205.179,2,2,0.3799999952316284,0.8899999856948853,0.6800000071525574,0.6899999976158142,0.17000000178813934,0.8799999952316284,1,1,1,,keyboard,blues,,25,,a755b59b0cdf3bbe932d35801ec91775
15,cloudy,10.255.52.254,1,1,0.27000001072883606,0.6600000262260437,0.6399999856948853,0.3100000023841858,0.4399999976158142,0.9599999785423279,0.6600000262260437,0.8399999737739563,0.5,,,,,,,d658c2e72e9d5f0f271928f4f0086f92
16,dreamy,10.255.52.254,1,1,0.550000011920929,1,1,1,0.6700000166893005,1,1,0.8799999952316284,0.6800000071525574,,,,,,,e7cf3b4e1128588b299b13aa061785d1
17,fluffy,10.255.52.254,1,1,0,1,0.8100000023841858,0.7599999904632568,0.5099999904632568,1,0.8799999952316284,0.5899999737739563,0.46000000834465027,,,,,,,643a2f8ed47fba971fe8a940bece3fa8
18,warm,10.255.52.254,1,1,0.5699999928474426,0.7300000190734863,0.8100000023841858,0.7599999904632568,0.5099999904632568,1,0.8799999952316284,0.5899999737739563,0.46000000834465027,,,,,,,602a2e29a3ce8a346d0aa824da7bb94c
19,lush,10.255.52.254,1,1,0.5699999928474426,0.7300000190734863,0.8100000023841858,0.949999988079071,0.3700000047683716,0.6200000047683716,0.8799999952316284,0.7900000214576721,0.7599999904632568,,,,,,,32e88b43eac95e32924335c5541758b7
20,subtle,10.255.52.254,1,1,0.9100000262260437,0.7300000190734863,0.550000011920929,0.949999988079071,0.3700000047683716,0.6200000047683716,0.7799999713897705,0.5299999713897705,1,,,,,,,30219d88dbb8ed880351b3e685fff656
21,rich,10.255.52.254,1,1,0.9100000262260437,0.7300000190734863,0.550000011920929,0.8899999856948853,0.3700000047683716,0.5400000214576721,0.9300000071525574,0.3700000047683716,0.7300000190734863,,,,,,,29eaba43ee2756d7ec1ca085bc0ed9f8
22,rich,10.255.52.254,1,1,0.9100000262260437,0.7300000190734863,0.550000011920929,0.8899999856948853,0.3700000047683716,0.5400000214576721,0.9300000071525574,0.3700000047683716,0.7300000190734863,,,,,,,438428e1003a92fb4b0a0e65fe45ba11
23,layered,10.255.52.254,1,1,0.9100000262260437,0.9399999976158142,0.550000011920929,0.8899999856948853,0.3700000047683716,0.5400000214576721,0.9300000071525574,0.949999988079071,0.7300000190734863,,,,,,,ebd64fa78583a04a9c41b17fb51a0b35
24,vocals,10.255.52.254,1,1,0.75,0.8299999833106995,0.550000011920929,0.4699999988079071,0.3700000047683716,0.3700000047683716,0.9599999785423279,0.6100000143051147,0.3400000035762787,,,,,,,bb0372bc709677d4c8e5bd7a6295f3cd
