34,boomy,10.33.190.161,2,2,11.199999809265137,0.7400000095367432,0,1,-0.800000011920929,reggae,"kick drum",birmingham,4,30,english,827f4d31bf4f88e38577a2ed45913782
35,"destroyed ",10.33.190.161,2,2,45.599998474121094,0.7400000095367432,0,1,-20.860000610351562,reggae,"kick drum",birmingham,4,30,english,ba000cbf99b39f2becc338a640f5fbfa
36,subby,10.33.190.161,2,2,10,0.7400000095367432,0,0,-3.1700000762939453,reggae,"kick drum",birmingham,4,30,english,b48e6738a11927fee89018343193ca5e
37,Heavy,10.33.190.161,2,2,15.199999809265137,0,0.1599999964237213,0.8399999737739563,-2.380000114440918,reggae,"lead electric guitar",birmingham,4,30,english,79e0ed1165116cdd81c3721b6494e54a
38,bluesy,10.33.190.161,2,2,13.600000381469727,1,1,0.44999998807907104,-9.25,reggae,"lead electric guitar",birmingham,4,30,english,a59e3d75f32c4f8d5a20d7a32ab37331
39,distorted,10.33.190.161,2,2,45.20000076293945,1,1,0.44999998807907104,-9.25,reggae,"lead electric guitar",birmingham,4,30,english,41c1da5e6cdafc1c33c24398f404fd9f
40,Sharp,10.33.190.161,2,2,20,0.8500000238418579,0,1,-6.619999885559082,reggae,"lead electric guitar",birmingham,4,30,english,c7b8cff0b9faa38ab9feae047926aaea
41,fuzzy,10.33.190.161,2,2,50,1,0.550000011920929,0.07000000029802322,-16.1200008392334,reggae,"lead electric guitar",birmingham,4,30,english,c7712f641e3791d94d4a5ca8e8081732
42,crunch,216.185.245.154,2,2,4.800000190734863,0.6800000071525574,0.4699999988079071,1,0,,,,,,,c3c2b179290e1aa54e81b3158c1e652f
43,punch,71.171.122.198,2,2,10.399999618530273,1,0,1,-0.7900000214576721,,,,,,,69a35a0ca3a7d48441ef8f3737c23f04
44,harsh,81.129.152.167,2,2,26.799999237060547,0.3100000023841858,0.36000001430511475,0.7400000095367432,-12.399999618530273,,,,,,,a4aaeadf4ca1602095c4372f4ed30848
45,"broken distorted clipped",81.129.152.167,2,2,40,0.3100000023841858,0.36000001430511475,0.7400000095367432,-12.399999618530273,,,,,,,5e4e86f9bd543fbe63ed3a5e2e62bdf0
46,sputtery,81.129.152.167,2,2,14,0.3100000023841858,0.36000001430511475,0.7400000095367432,-12.399999618530273,,,,,,,b81ba1e86b62efb7ca2850aaafdc8246
47,lo-fi,81.129.152.167,2,2,16.799999237060547,0.3100000023841858,0.36000001430511475,0.23000000417232513,-8.710000038146973,,,,,,,663111a340412bfb659c54efaec0ae84
48,"damp flat",81.129.152.167,2,2,15.199999809265137,0.3100000023841858,0.36000001430511475,0.11999999731779099,-6.860000133514404,,,,,,,e3bcba41c3ef7e2faea6261dca2d93d3
49,warm,10.33.221.152,2,2,18.31999969482422,0.27000001072883606,0.3799999952316284,0.47999998927116394,-7.710000514984131,,,,,,,08341551809ec32f9e2f17ef8eea744c
50,lil,201.170.63.146,2,2,16.799999237060547,0,0,1,-1.850000023841858,"dubstep ",massive,,,,,c56ec6a3f03405f24246fc6358946164
51,lil,201.170.63.146,2,2,16.799999237060547,0,0,1,-1.850000023841858,"dubstep ",massive,"descktop ",good,2014,español,4492e4a4d30abe4385432ec13b1b36ec
52,smashed,10.255.52.254,1,1,26.510000228881836,0.38999998569488525,0,0.3199999928474426,-13.170000076293945,,,,,,,8838fb7512db1e49ab811e3faf02b3b2
53,noisey,10.255.52.254,1,1,50,0,0.5199999809265137,0.75,-18.440000534057617,,,,,,,975df4e0efb76a16909bfd092aede7b5
54,noise,10.255.52.254,1,1,36.150001525878906,1,0.5199999809265137,0.75,-14.770000457763672,,,,,,,6ff171edb5e0528c24e258d9503bc960
55,lofi,82.15.194.203,2,2,46.79999923706055,1,1,0,0,"industrial / electronic",drums,UK,"5 years",28,English,62b056c9808e69e5e21d7f2b9d835faa
56,crispy,82.15.194.203,2,2,46.79999923706055,1,0.75,0.47999998927116394,0,"industrial / electronic",drums,UK,"5 years",28,English,0699c327e22b22cc39f686b3e975c42a
57,smash,82.15.194.203,2,2,46.79999923706055,1,0.05999999865889549,0.7400000095367432,0,"industrial / electronic",drums,UK,"5 years",28,English,06a9fba6dcffc6bee273b5d9c2bd4559
58,splash,82.15.194.203,2,2,46.79999923706055,0.23999999463558197,0.41999998688697815,0.7400000095367432,0,"industrial / electronic",drums,UK,"5 years",28,English,34d5aba7c797ceeee46bca379cd8d746
59,tiny,82.15.194.203,2,2,4,1,1,0.07000000029802322,0,"industrial / electronic",drums,UK,"5 years",28,English,6cc7eb2723b05dba67d6ecae21dc256c
60,sizzle,82.15.194.203,2,2,4,1,1,0.5099999904632568,0,"industrial / electronic",drums,UK,"5 years",28,English,d4b1ce1baebe76e341eb8a66cf01112a
61,growl,82.15.194.203,2,2,6.800000190734863,0.17000000178813934,0,1,0,"industrial / electronic","bass synth",UK,"5 years",28,English,01726d883b40c347ccb86d200542228a
62,fart,82.15.194.203,2,2,6.800000190734863,0.17000000178813934,0.8799999952316284,1,0,"industrial / electronic","bass synth",UK,"5 years",28,English,bafa8361dfdf6a0a99a0967e39248d3e
